/Users/josepsmachine/miniforge3/envs/ML/lib/python3.10/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([100])) that is different to the input size (torch.Size([100, 100, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
{'epoch': 0, 'batch': 0, 'loss': 34.40060043334961}
{'epoch': 0, 'batch': 30, 'loss': 0.013309929519891739}
{'epoch': 0, 'batch': 60, 'loss': 0.011858649551868439}
{'epoch': 0, 'batch': 90, 'loss': 0.009689386002719402}
{'epoch': 0, 'batch': 120, 'loss': 0.0188214760273695}
{'epoch': 0, 'batch': 150, 'loss': 0.016965579241514206}
{'epoch': 0, 'batch': 180, 'loss': 0.021441124379634857}
{'epoch': 0, 'batch': 210, 'loss': 0.00994053203612566}
{'epoch': 0, 'batch': 240, 'loss': 0.019763266667723656}
{'epoch': 0, 'batch': 270, 'loss': 0.01794792339205742}
{'epoch': 0, 'batch': 300, 'loss': 0.011804350651800632}
{'epoch': 0, 'batch': 330, 'loss': 1.8884021043777466}
{'epoch': 0, 'batch': 360, 'loss': 0.009687595069408417}
{'epoch': 0, 'batch': 390, 'loss': 0.008872042410075665}
{'epoch': 0, 'batch': 420, 'loss': 0.01251312904059887}
{'epoch': 0, 'batch': 450, 'loss': 0.05548843741416931}
{'epoch': 0, 'batch': 480, 'loss': 0.013629056513309479}
{'epoch': 0, 'batch': 510, 'loss': 0.056981757283210754}
{'epoch': 0, 'batch': 540, 'loss': 0.010419673286378384}
{'epoch': 0, 'batch': 570, 'loss': 0.01211921963840723}
{'epoch': 0, 'batch': 600, 'loss': 0.024525891989469528}
{'epoch': 1, 'batch': 0, 'loss': 0.16854935884475708}
{'epoch': 1, 'batch': 30, 'loss': 0.013309929519891739}
{'epoch': 1, 'batch': 60, 'loss': 0.011858649551868439}
{'epoch': 1, 'batch': 90, 'loss': 0.009689386002719402}
{'epoch': 1, 'batch': 120, 'loss': 0.0188214760273695}
{'epoch': 1, 'batch': 150, 'loss': 0.016965579241514206}
{'epoch': 1, 'batch': 180, 'loss': 0.021441124379634857}
{'epoch': 1, 'batch': 210, 'loss': 0.00994053203612566}
{'epoch': 1, 'batch': 240, 'loss': 0.019763266667723656}
{'epoch': 1, 'batch': 270, 'loss': 0.01794792339205742}
{'epoch': 1, 'batch': 300, 'loss': 0.011804350651800632}
{'epoch': 1, 'batch': 330, 'loss': 1.8884021043777466}
{'epoch': 1, 'batch': 360, 'loss': 0.009687595069408417}
{'epoch': 1, 'batch': 390, 'loss': 0.008872042410075665}
{'epoch': 1, 'batch': 420, 'loss': 0.01251312904059887}
{'epoch': 1, 'batch': 450, 'loss': 0.05548843741416931}
{'epoch': 1, 'batch': 480, 'loss': 0.013629056513309479}
{'epoch': 1, 'batch': 510, 'loss': 0.056981757283210754}
{'epoch': 1, 'batch': 540, 'loss': 0.010419673286378384}
{'epoch': 1, 'batch': 570, 'loss': 0.01211921963840723}
{'epoch': 1, 'batch': 600, 'loss': 0.024525891989469528}
{'epoch': 2, 'batch': 0, 'loss': 0.16854935884475708}
{'epoch': 2, 'batch': 30, 'loss': 0.013309929519891739}
{'epoch': 2, 'batch': 60, 'loss': 0.011858649551868439}
{'epoch': 2, 'batch': 90, 'loss': 0.009689386002719402}
{'epoch': 2, 'batch': 120, 'loss': 0.0188214760273695}
{'epoch': 2, 'batch': 150, 'loss': 0.016965579241514206}
{'epoch': 2, 'batch': 180, 'loss': 0.021441124379634857}
{'epoch': 2, 'batch': 210, 'loss': 0.00994053203612566}
{'epoch': 2, 'batch': 240, 'loss': 0.019763266667723656}
{'epoch': 2, 'batch': 270, 'loss': 0.01794792339205742}
{'epoch': 2, 'batch': 300, 'loss': 0.011804350651800632}
{'epoch': 2, 'batch': 330, 'loss': 1.8884021043777466}
{'epoch': 2, 'batch': 360, 'loss': 0.009687595069408417}
{'epoch': 2, 'batch': 390, 'loss': 0.008872042410075665}
{'epoch': 2, 'batch': 420, 'loss': 0.01251312904059887}
{'epoch': 2, 'batch': 450, 'loss': 0.05548843741416931}
{'epoch': 2, 'batch': 480, 'loss': 0.013629056513309479}
{'epoch': 2, 'batch': 510, 'loss': 0.056981757283210754}
{'epoch': 2, 'batch': 540, 'loss': 0.010419673286378384}
{'epoch': 2, 'batch': 570, 'loss': 0.01211921963840723}
{'epoch': 2, 'batch': 600, 'loss': 0.024525891989469528}
