/Users/josepsmachine/miniforge3/envs/ML/lib/python3.10/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([100])) that is different to the input size (torch.Size([100, 100, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
{'epoch': 0, 'batch': 0, 'loss': 0.03100699558854103}
{'epoch': 0, 'batch': 30, 'loss': 0.0316695012152195}
{'epoch': 0, 'batch': 60, 'loss': 0.13204726576805115}
{'epoch': 0, 'batch': 90, 'loss': 0.15653006732463837}
{'epoch': 0, 'batch': 120, 'loss': 0.04123562201857567}
{'epoch': 0, 'batch': 150, 'loss': 0.4690435230731964}
{'epoch': 0, 'batch': 180, 'loss': 0.10149543732404709}
{'epoch': 0, 'batch': 210, 'loss': 0.028584765270352364}
{'epoch': 0, 'batch': 240, 'loss': 0.05202649533748627}
{'epoch': 0, 'batch': 270, 'loss': 0.3624342978000641}
{'epoch': 0, 'batch': 300, 'loss': 0.0758385956287384}
{'epoch': 0, 'batch': 330, 'loss': 0.05146966129541397}
{'epoch': 0, 'batch': 360, 'loss': 0.03563806042075157}
{'epoch': 0, 'batch': 390, 'loss': 0.019812945276498795}
{'epoch': 0, 'batch': 420, 'loss': 0.08592749387025833}
{'epoch': 0, 'batch': 450, 'loss': 0.02458016946911812}
{'epoch': 0, 'batch': 480, 'loss': 0.10299396514892578}
{'epoch': 0, 'batch': 510, 'loss': 0.028622405603528023}
{'epoch': 0, 'batch': 540, 'loss': 0.14794962108135223}
{'epoch': 0, 'batch': 570, 'loss': 0.0711529329419136}
{'epoch': 0, 'batch': 600, 'loss': 0.046485740691423416}
{'epoch': 1, 'batch': 0, 'loss': 0.04295790195465088}
{'epoch': 1, 'batch': 30, 'loss': 0.06455627083778381}
{'epoch': 1, 'batch': 60, 'loss': 0.04419093579053879}
{'epoch': 1, 'batch': 90, 'loss': 0.02839604578912258}
{'epoch': 1, 'batch': 120, 'loss': 0.05266909673810005}
{'epoch': 1, 'batch': 150, 'loss': 0.1937289983034134}
{'epoch': 1, 'batch': 180, 'loss': 0.04861050471663475}
{'epoch': 1, 'batch': 210, 'loss': 0.03055364079773426}
{'epoch': 1, 'batch': 240, 'loss': 0.17397718131542206}
{'epoch': 1, 'batch': 270, 'loss': 0.30176272988319397}
{'epoch': 1, 'batch': 300, 'loss': 0.38416075706481934}
{'epoch': 1, 'batch': 330, 'loss': 0.05263316258788109}
{'epoch': 1, 'batch': 360, 'loss': 0.22027777135372162}
{'epoch': 1, 'batch': 390, 'loss': 0.047115255147218704}
{'epoch': 1, 'batch': 420, 'loss': 0.07708236575126648}
{'epoch': 1, 'batch': 450, 'loss': 0.1520993709564209}
{'epoch': 1, 'batch': 480, 'loss': 0.035054754465818405}
{'epoch': 1, 'batch': 510, 'loss': 0.01590793766081333}
{'epoch': 1, 'batch': 540, 'loss': 0.14997652173042297}
{'epoch': 1, 'batch': 570, 'loss': 0.08718019723892212}
{'epoch': 1, 'batch': 600, 'loss': 0.18156923353672028}
{'epoch': 2, 'batch': 0, 'loss': 0.4458792805671692}
{'epoch': 2, 'batch': 30, 'loss': 0.08676891773939133}
{'epoch': 2, 'batch': 60, 'loss': 0.3491017818450928}
{'epoch': 2, 'batch': 90, 'loss': 0.9143656492233276}
{'epoch': 2, 'batch': 120, 'loss': 0.11904769390821457}
{'epoch': 2, 'batch': 150, 'loss': 0.04546154662966728}
{'epoch': 2, 'batch': 180, 'loss': 3.994645833969116}
{'epoch': 2, 'batch': 210, 'loss': 0.05072062090039253}
{'epoch': 2, 'batch': 240, 'loss': 0.1776331067085266}
{'epoch': 2, 'batch': 270, 'loss': 0.044429682195186615}
{'epoch': 2, 'batch': 300, 'loss': 0.06935817748308182}
{'epoch': 2, 'batch': 330, 'loss': 0.18922097980976105}
{'epoch': 2, 'batch': 360, 'loss': 0.05319409817457199}
{'epoch': 2, 'batch': 390, 'loss': 0.048129141330718994}
{'epoch': 2, 'batch': 420, 'loss': 0.03022672049701214}
{'epoch': 2, 'batch': 450, 'loss': 0.029884550720453262}
{'epoch': 2, 'batch': 480, 'loss': 0.2646254599094391}
{'epoch': 2, 'batch': 510, 'loss': 0.052994221448898315}
{'epoch': 2, 'batch': 540, 'loss': 0.11272432655096054}
{'epoch': 2, 'batch': 570, 'loss': 0.046545859426259995}
{'epoch': 2, 'batch': 600, 'loss': 0.05149928480386734}
{'epoch': 3, 'batch': 0, 'loss': 0.19186505675315857}
{'epoch': 3, 'batch': 30, 'loss': 0.26013073325157166}
{'epoch': 3, 'batch': 60, 'loss': 0.04447154700756073}
{'epoch': 3, 'batch': 90, 'loss': 0.024428866803646088}
{'epoch': 0, 'batch': 0, 'loss': 0.3265020251274109}
{'epoch': 0, 'batch': 30, 'loss': 0.1972465068101883}
{'epoch': 0, 'batch': 60, 'loss': 0.022171156480908394}
{'epoch': 0, 'batch': 90, 'loss': 0.06969127058982849}
{'epoch': 0, 'batch': 120, 'loss': 0.020037420094013214}
{'epoch': 0, 'batch': 150, 'loss': 0.0311063714325428}
{'epoch': 0, 'batch': 180, 'loss': 0.47448354959487915}
{'epoch': 0, 'batch': 210, 'loss': 0.5855109095573425}
{'epoch': 0, 'batch': 240, 'loss': 0.06593886762857437}
{'epoch': 0, 'batch': 270, 'loss': 0.02113434299826622}
{'epoch': 0, 'batch': 300, 'loss': 0.20708611607551575}
{'epoch': 0, 'batch': 330, 'loss': 0.26304566860198975}
{'epoch': 0, 'batch': 360, 'loss': 0.021526919677853584}
{'epoch': 0, 'batch': 390, 'loss': 0.06980118900537491}
{'epoch': 0, 'batch': 420, 'loss': 0.01735587604343891}
{'epoch': 0, 'batch': 450, 'loss': 0.1637013852596283}
{'epoch': 0, 'batch': 480, 'loss': 0.07343456149101257}
{'epoch': 0, 'batch': 510, 'loss': 0.0612126849591732}
{'epoch': 0, 'batch': 540, 'loss': 0.04401271790266037}
{'epoch': 0, 'batch': 570, 'loss': 0.017027273774147034}
{'epoch': 0, 'batch': 600, 'loss': 0.09267130494117737}
{'TEST!': 0, 'batch': 0, 'loss': 0.11489587277173996}
{'TEST!': 0, 'batch': 30, 'loss': 0.05405356362462044}
{'TEST!': 0, 'batch': 60, 'loss': 0.027115577831864357}
{'TEST!': 0, 'batch': 90, 'loss': 0.04300675541162491}
{'TEST!': 0, 'batch': 120, 'loss': 0.06919543445110321}
{'TEST!': 0, 'batch': 150, 'loss': 0.05763624235987663}
{'TEST!': 0, 'batch': 180, 'loss': 0.01890568621456623}
{'epoch': 1, 'batch': 0, 'loss': 0.027733970433473587}
{'epoch': 1, 'batch': 30, 'loss': 0.08880199491977692}
{'epoch': 1, 'batch': 60, 'loss': 0.038406699895858765}
{'epoch': 1, 'batch': 90, 'loss': 0.19627535343170166}
{'epoch': 1, 'batch': 120, 'loss': 0.06659527868032455}
{'epoch': 1, 'batch': 150, 'loss': 0.7113854289054871}
{'epoch': 1, 'batch': 180, 'loss': 0.026594452559947968}
{'epoch': 1, 'batch': 210, 'loss': 0.07679863274097443}
{'epoch': 1, 'batch': 240, 'loss': 1.3525701761245728}
