/Users/josepsmachine/miniforge3/envs/ML/lib/python3.10/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([100])) that is different to the input size (torch.Size([100, 100, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
{'epoch': 0, 'batch': 0, 'loss': 0.03504547104239464}
{'epoch': 0, 'batch': 30, 'loss': 0.2794022262096405}
{'epoch': 0, 'batch': 60, 'loss': 0.10639842599630356}
{'epoch': 0, 'batch': 90, 'loss': 0.015318685211241245}
{'epoch': 0, 'batch': 120, 'loss': 0.056057222187519073}
{'epoch': 0, 'batch': 150, 'loss': 0.19356560707092285}
{'epoch': 0, 'batch': 180, 'loss': 0.03142830729484558}
{'epoch': 0, 'batch': 210, 'loss': 0.07657569646835327}
{'epoch': 0, 'batch': 240, 'loss': 0.021230531856417656}
{'epoch': 0, 'batch': 270, 'loss': 0.06032831594347954}
{'epoch': 0, 'batch': 300, 'loss': 0.02018512412905693}
{'epoch': 0, 'batch': 330, 'loss': 1.2539814710617065}
{'epoch': 0, 'batch': 360, 'loss': 0.3600427508354187}
{'epoch': 0, 'batch': 390, 'loss': 0.21490634977817535}
{'epoch': 0, 'batch': 420, 'loss': 0.07677671313285828}
{'epoch': 0, 'batch': 450, 'loss': 0.08764807134866714}
{'epoch': 0, 'batch': 480, 'loss': 0.42802882194519043}
{'epoch': 0, 'batch': 510, 'loss': 0.961759090423584}
{'epoch': 0, 'batch': 540, 'loss': 0.2698293626308441}
{'epoch': 0, 'batch': 570, 'loss': 0.21844974160194397}
{'epoch': 0, 'batch': 600, 'loss': 0.03310009464621544}
{'TEST!': 0, 'batch': 0, 'loss': 0.030489932745695114}
{'TEST!': 0, 'batch': 30, 'loss': 0.12941788136959076}
{'TEST!': 0, 'batch': 60, 'loss': 0.02433897741138935}
{'TEST!': 0, 'batch': 90, 'loss': 0.02988060750067234}
{'TEST!': 0, 'batch': 120, 'loss': 0.07855696976184845}
{'TEST!': 0, 'batch': 150, 'loss': 0.03378548473119736}
{'TEST!': 0, 'batch': 180, 'loss': 0.14531317353248596}
{'epoch': 1, 'batch': 0, 'loss': 0.11297336965799332}
{'epoch': 1, 'batch': 30, 'loss': 0.03474672883749008}
{'epoch': 1, 'batch': 60, 'loss': 0.05680443346500397}
{'epoch': 1, 'batch': 90, 'loss': 0.06678832322359085}
{'epoch': 1, 'batch': 120, 'loss': 0.057405028492212296}
{'epoch': 1, 'batch': 150, 'loss': 0.1872008740901947}
{'epoch': 1, 'batch': 180, 'loss': 0.05004459246993065}
{'epoch': 1, 'batch': 210, 'loss': 0.059221841394901276}
{'epoch': 1, 'batch': 240, 'loss': 0.03900870308279991}
{'epoch': 1, 'batch': 270, 'loss': 0.4412136971950531}
{'epoch': 1, 'batch': 300, 'loss': 0.0882285088300705}
{'epoch': 1, 'batch': 330, 'loss': 0.24296727776527405}
{'epoch': 1, 'batch': 360, 'loss': 0.028251245617866516}
{'epoch': 1, 'batch': 390, 'loss': 0.20292061567306519}
{'epoch': 1, 'batch': 420, 'loss': 0.13127048313617706}
{'epoch': 1, 'batch': 450, 'loss': 0.33703702688217163}
{'epoch': 1, 'batch': 480, 'loss': 0.019814055413007736}
{'epoch': 1, 'batch': 510, 'loss': 0.12580262124538422}
{'epoch': 1, 'batch': 540, 'loss': 7.333427906036377}
{'epoch': 1, 'batch': 570, 'loss': 0.2658122777938843}
{'epoch': 1, 'batch': 600, 'loss': 0.030564595013856888}
{'TEST!': 1, 'batch': 0, 'loss': 0.22451233863830566}
{'TEST!': 1, 'batch': 30, 'loss': 0.044796474277973175}
{'TEST!': 1, 'batch': 60, 'loss': 0.1443970650434494}
{'TEST!': 1, 'batch': 90, 'loss': 0.5052525401115417}
{'TEST!': 1, 'batch': 120, 'loss': 0.07122331857681274}
{'TEST!': 1, 'batch': 150, 'loss': 0.33356860280036926}
{'TEST!': 1, 'batch': 180, 'loss': 0.09190193563699722}
{'epoch': 2, 'batch': 0, 'loss': 0.050624437630176544}
{'epoch': 2, 'batch': 30, 'loss': 0.2360161393880844}
{'epoch': 2, 'batch': 60, 'loss': 0.26726216077804565}
{'epoch': 2, 'batch': 90, 'loss': 0.06264325976371765}
{'epoch': 2, 'batch': 120, 'loss': 0.039937276393175125}
{'epoch': 2, 'batch': 150, 'loss': 0.2708967924118042}
{'epoch': 2, 'batch': 180, 'loss': 0.41642695665359497}
{'epoch': 2, 'batch': 210, 'loss': 0.02327168919146061}
{'epoch': 2, 'batch': 240, 'loss': 0.05162663012742996}
{'epoch': 2, 'batch': 270, 'loss': 0.1530626267194748}
{'epoch': 2, 'batch': 300, 'loss': 0.17816247045993805}
{'epoch': 2, 'batch': 330, 'loss': 0.13808207213878632}
{'epoch': 2, 'batch': 360, 'loss': 0.04849526658654213}
{'epoch': 2, 'batch': 390, 'loss': 0.049491748213768005}
{'epoch': 2, 'batch': 420, 'loss': 0.024876846000552177}
{'epoch': 2, 'batch': 450, 'loss': 0.07021678239107132}
{'epoch': 2, 'batch': 480, 'loss': 0.04356318712234497}
{'epoch': 2, 'batch': 510, 'loss': 0.12013313174247742}
{'epoch': 2, 'batch': 540, 'loss': 0.05031181499361992}
{'epoch': 2, 'batch': 570, 'loss': 1.0805550813674927}
{'epoch': 2, 'batch': 600, 'loss': 0.03602931648492813}
{'TEST!': 2, 'batch': 0, 'loss': 0.32641497254371643}
{'TEST!': 2, 'batch': 30, 'loss': 0.7381020188331604}
{'TEST!': 2, 'batch': 60, 'loss': 0.12412714213132858}
{'TEST!': 2, 'batch': 90, 'loss': 0.09460555762052536}
{'TEST!': 2, 'batch': 120, 'loss': 0.04922809079289436}
{'TEST!': 2, 'batch': 150, 'loss': 0.0495813712477684}
{'TEST!': 2, 'batch': 180, 'loss': 0.06410612165927887}
{'epoch': 3, 'batch': 0, 'loss': 0.05654694512486458}
{'epoch': 3, 'batch': 30, 'loss': 0.04379049316048622}
{'epoch': 3, 'batch': 60, 'loss': 0.0827799141407013}
{'epoch': 3, 'batch': 90, 'loss': 0.04836900532245636}
{'epoch': 3, 'batch': 120, 'loss': 0.4021574556827545}
{'epoch': 3, 'batch': 150, 'loss': 0.21184036135673523}
{'epoch': 3, 'batch': 180, 'loss': 0.03223602846264839}
{'epoch': 3, 'batch': 210, 'loss': 0.05587713420391083}
{'epoch': 3, 'batch': 240, 'loss': 0.07406681030988693}
{'epoch': 3, 'batch': 270, 'loss': 0.02734745293855667}
{'epoch': 3, 'batch': 300, 'loss': 0.5138155221939087}
{'epoch': 3, 'batch': 330, 'loss': 0.02448824979364872}
{'epoch': 3, 'batch': 360, 'loss': 0.09634184092283249}
{'epoch': 3, 'batch': 390, 'loss': 0.20143777132034302}
{'epoch': 3, 'batch': 420, 'loss': 12.016036033630371}
{'epoch': 3, 'batch': 450, 'loss': 0.4698142111301422}
{'epoch': 3, 'batch': 480, 'loss': 0.08575496822595596}
{'epoch': 3, 'batch': 510, 'loss': 0.07999011874198914}
{'epoch': 3, 'batch': 540, 'loss': 0.13025657832622528}
{'epoch': 3, 'batch': 570, 'loss': 0.10561748594045639}
{'epoch': 3, 'batch': 600, 'loss': 0.42332780361175537}
{'TEST!': 3, 'batch': 0, 'loss': 0.173404261469841}
{'TEST!': 3, 'batch': 30, 'loss': 0.09797392785549164}
{'TEST!': 3, 'batch': 60, 'loss': 0.07267794013023376}
{'TEST!': 3, 'batch': 90, 'loss': 0.0732787549495697}
{'TEST!': 3, 'batch': 120, 'loss': 0.40375572443008423}
{'TEST!': 3, 'batch': 150, 'loss': 0.050193820148706436}
{'TEST!': 3, 'batch': 180, 'loss': 0.05555478483438492}
{'epoch': 4, 'batch': 0, 'loss': 0.14580607414245605}
{'epoch': 4, 'batch': 30, 'loss': 0.1576537936925888}
{'epoch': 4, 'batch': 60, 'loss': 0.05990469083189964}
{'epoch': 4, 'batch': 90, 'loss': 1.047597050666809}
{'epoch': 4, 'batch': 120, 'loss': 0.024883529171347618}
{'epoch': 4, 'batch': 150, 'loss': 0.058742817491292953}
{'epoch': 4, 'batch': 180, 'loss': 0.10273811966180801}
{'epoch': 4, 'batch': 210, 'loss': 0.08135595917701721}
{'epoch': 4, 'batch': 240, 'loss': 0.08250387012958527}
{'epoch': 4, 'batch': 270, 'loss': 0.031744129955768585}
