/Users/josepsmachine/miniforge3/envs/ML/lib/python3.10/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([100])) that is different to the input size (torch.Size([100, 1, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
{'epoch': 0, 'batch': 0, 'loss': 0.02154184877872467}
{'epoch': 0, 'batch': 30, 'loss': 0.13405920565128326}
{'epoch': 0, 'batch': 60, 'loss': 0.04469778388738632}
{'epoch': 0, 'batch': 90, 'loss': 0.7753259539604187}
{'epoch': 0, 'batch': 120, 'loss': 0.3792515695095062}
{'epoch': 0, 'batch': 150, 'loss': 0.07837516814470291}
{'epoch': 0, 'batch': 180, 'loss': 0.0535229928791523}
{'epoch': 0, 'batch': 210, 'loss': 0.8033410906791687}
{'epoch': 0, 'batch': 240, 'loss': 0.9188896417617798}
{'epoch': 0, 'batch': 270, 'loss': 0.045544806867837906}
{'epoch': 0, 'batch': 300, 'loss': 0.20146238803863525}
{'epoch': 0, 'batch': 330, 'loss': 0.08263994008302689}
{'epoch': 0, 'batch': 360, 'loss': 0.11012755334377289}
{'epoch': 0, 'batch': 390, 'loss': 0.03570980578660965}
{'epoch': 0, 'batch': 420, 'loss': 0.030874572694301605}
{'epoch': 0, 'batch': 450, 'loss': 0.04833443462848663}
{'epoch': 0, 'batch': 480, 'loss': 0.2516511082649231}
{'epoch': 0, 'batch': 510, 'loss': 0.14254344999790192}
{'epoch': 0, 'batch': 540, 'loss': 0.05986911058425903}
{'epoch': 0, 'batch': 570, 'loss': 0.031057951971888542}
{'epoch': 0, 'batch': 600, 'loss': 0.041413359344005585}
{'TEST!': 0, 'batch': 0, 'loss': 0.2706345319747925}
{'TEST!': 0, 'batch': 30, 'loss': 0.05158136412501335}
{'TEST!': 0, 'batch': 60, 'loss': 0.03675905987620354}
{'TEST!': 0, 'batch': 90, 'loss': 0.02847268432378769}
{'TEST!': 0, 'batch': 120, 'loss': 0.12468298524618149}
{'TEST!': 0, 'batch': 150, 'loss': 0.04796363040804863}
{'TEST!': 0, 'batch': 180, 'loss': 0.1159253641963005}
{'epoch': 1, 'batch': 0, 'loss': 0.04819193854928017}
{'epoch': 1, 'batch': 30, 'loss': 0.04349410906434059}
{'epoch': 1, 'batch': 60, 'loss': 0.3466735780239105}
{'epoch': 1, 'batch': 90, 'loss': 0.06651929765939713}
{'epoch': 1, 'batch': 120, 'loss': 0.10764364898204803}
{'epoch': 1, 'batch': 150, 'loss': 0.17293471097946167}
{'epoch': 1, 'batch': 180, 'loss': 0.07955389469861984}
{'epoch': 1, 'batch': 210, 'loss': 0.06648563593626022}
{'epoch': 1, 'batch': 240, 'loss': 0.3695080876350403}
{'epoch': 1, 'batch': 270, 'loss': 13.172614097595215}
{'epoch': 1, 'batch': 300, 'loss': 1.3714940547943115}
{'epoch': 1, 'batch': 330, 'loss': 0.021139636635780334}
{'epoch': 1, 'batch': 360, 'loss': 0.08262977004051208}
{'epoch': 1, 'batch': 390, 'loss': 0.05076473206281662}
{'epoch': 1, 'batch': 420, 'loss': 0.10004467517137527}
{'epoch': 1, 'batch': 450, 'loss': 0.07658200711011887}
{'epoch': 1, 'batch': 480, 'loss': 0.4724721610546112}
{'epoch': 1, 'batch': 510, 'loss': 0.1917572319507599}
{'epoch': 1, 'batch': 540, 'loss': 0.01286246906965971}
{'epoch': 1, 'batch': 570, 'loss': 0.10742753744125366}
{'epoch': 1, 'batch': 600, 'loss': 0.0400221012532711}
{'TEST!': 1, 'batch': 0, 'loss': 0.18974043428897858}
{'TEST!': 1, 'batch': 30, 'loss': 0.07743892818689346}
{'TEST!': 1, 'batch': 60, 'loss': 0.08674356341362}
